Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Keep on Loving You,4rcHWl68ai6KvpXlc8vbnE,Hi Infidelity (30th Anniversary Edition),0,1,0.306,0.722,-5.963,0.034,0.0519,0,0.117,0.41,174.732,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Keep on Loving You"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4rcHWl68ai6KvpXlc8vbnE?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Take It On the Run,5gys5nzVQIYhgHIfiOJYva,Hi Infidelity (30th Anniversary Edition),7,1,0.371,0.758,-5.679,0.036,0.0958,0,0.116,0.452,77.81,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Take It On the Run"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5gys5nzVQIYhgHIfiOJYva?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Time for Me to Fly,0cO7JEo8deKuQMWpDyjenY,"You Can Tune a Piano, But You Can't Tuna Fish",2,1,0.463,0.629,-7.075,0.0269,0.0524,0,0.176,0.459,81.797,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Time for Me to Fly"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0cO7JEo8deKuQMWpDyjenY?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Roll with the Changes,16x9viSmRS3PII71Pdeowc,"You Can Tune a Piano, But You Can't Tuna Fish",0,1,0.204,0.896,-5.931,0.049,0.00266,0,0.152,0.653,90.6,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Roll with the Changes"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/16x9viSmRS3PII71Pdeowc?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,In My Dreams,5ZeKZBB57EnctaXih6hJvE,Life As We Know It,11,1,0.623,0.38,-15.221,0.0309,0.0476,0,0.3,0.46,144.882,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: In My Dreams"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5ZeKZBB57EnctaXih6hJvE?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Keep Pushin',6jCQsJUtU9XOtM2b8LkTBf,R.E.O.,1,0,0.581,0.906,-5.573,0.0418,0.0325,5.93e-05,0.133,0.813,147.594,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Keep Pushin&apos;"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6jCQsJUtU9XOtM2b8LkTBf?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Don't Let Him Go,6UxGF7LGJ5qE0LJViSTsA2,Hi Infidelity (30th Anniversary Edition),7,1,0.497,0.961,-5.774,0.0691,0.246,0.00125,0.129,0.675,105.593,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Don&apos;t Let Him Go"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6UxGF7LGJ5qE0LJViSTsA2?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Ridin' the Storm Out,0SkmxNE5ydxiEN0hzJbMac,Ridin' the Storm Out,9,0,0.557,0.798,-5.843,0.0277,0.0158,2.47e-05,0.547,0.612,134.805,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Ridin&apos; the Storm Out"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0SkmxNE5ydxiEN0hzJbMac?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,In Your Letter,0udUxLibGsKop4rlmBaVsi,Hi Infidelity (30th Anniversary Edition),7,1,0.641,0.894,-5.108,0.0284,0.273,0,0.409,0.926,131.079,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: In Your Letter"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0udUxLibGsKop4rlmBaVsi?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,Sister Christian,57trQKFZdJxHia4sMJioWk,Midnight Madness,5,1,0.448,0.35,-16.239,0.0393,0.147,2.27e-06,0.0842,0.234,177.279,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Sister Christian"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/57trQKFZdJxHia4sMJioWk?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,Don't Tell Me You Love Me,6E6uwOhAEHSzSvDewOBEvF,Dawn Patrol,6,0,0.389,0.84,-10.015,0.0442,0.0393,0.00155,0.085,0.493,176.589,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Don&apos;t Tell Me You Love Me"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6E6uwOhAEHSzSvDewOBEvF?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,When You Close Your Eyes,0FoB9BAV7B2Kv6NxOFZtSO,Midnight Madness,0,1,0.473,0.673,-14.122,0.0363,0.0132,0,0.134,0.517,138.184,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: When You Close Your Eyes"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0FoB9BAV7B2Kv6NxOFZtSO?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,(You Can Still) Rock In America,1anccAjNKZNKlTbHGheeCA,Midnight Madness,11,0,0.384,0.778,-12.719,0.0567,0.000372,0.000114,0.191,0.594,164.768,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: (You Can Still) Rock In America"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1anccAjNKZNKlTbHGheeCA?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,Goodbye,50vyUOJM5ncJ6Y5YWZzXvX,7 Wishes,4,1,0.477,0.496,-13.522,0.0262,0.112,0.00222,0.29,0.643,84.137,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Goodbye"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/50vyUOJM5ncJ6Y5YWZzXvX?utm_source=oembed""></iframe>"
Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,Sing Me Away,6Aav1GMR2dbFU7nIRrnwQa,Dawn Patrol,2,1,0.551,0.753,-10.074,0.0337,0.0104,2.98e-06,0.115,0.52,122.813,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Sing Me Away"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6Aav1GMR2dbFU7nIRrnwQa?utm_source=oembed""></iframe>"
